核卡狀況,聯徵紀錄,年齡,年收入,收支比,每月信用卡支出平均,扶養人數,居住時間,持有主卡,活躍帳戶,核卡狀況_no,核卡狀況_yes,房地產_no,房地產_yes,創業人士_no,創業人士_yes
yes,-0.3397165448614569,21,-0.21636726732067604,-0.3973125545662154,-0.39460176915316064,2,1,0,2,0,1,1,0,1,0
yes,-0.3397165448614569,40,0.5495202581122887,-0.363402569948924,-0.22901361788622482,0,9,1,4,0,1,1,0,1,0
no,2.626726762015292,23,3.907583570585639,-0.7228419798591046,-0.6782559249526872,2,2,1,5,1,0,1,0,1,0
yes,-0.3397165448614569,21,-0.510939392487201,-0.6524400270877946,-0.6291111670009404,0,2,1,3,0,1,1,0,1,0
yes,-0.3397165448614569,22,-0.21636726732067604,-0.18486102498429652,-0.21060903895606942,0,10,1,11,0,1,1,0,1,0
yes,-0.3397165448614569,40,-0.452024967453896,-0.6794735610268315,-0.6476989666824909,0,4,1,3,0,1,0,1,1,0
yes,0.4018942818577303,18,-1.005820562766963,-0.12406975284095419,-0.39067213193964456,0,4,1,2,0,1,0,1,1,0
yes,-0.3397165448614569,34,0.6673491081788986,-0.6903481284765726,-0.6373095870099874,4,2,1,6,0,1,0,1,0,1
yes,-0.3397165448614569,25,0.9619212333454235,-0.3901934443532723,-0.19467994042831838,0,3,1,16,0,1,1,0,1,0
yes,-0.3397165448614569,20,-0.9586890227403189,1.3009201698611506,0.3410846418967616,0,0,1,11,0,1,1,0,1,0
yes,-0.3397165448614569,24,-0.879154548945357,0.1273551071727196,-0.2161521936358423,1,1,0,1,0,1,1,0,1,0
yes,-0.3397165448614569,41,-0.21636726732067604,0.28456274240052226,0.19758891566442516,3,10,0,0,0,1,0,1,1,0
no,3.368337588734479,31,0.49060583307898364,-0.7210937139690208,-0.6782559249526872,3,4,0,19,1,0,1,0,1,0
no,-0.3397165448614569,53,0.9030068083121185,-0.7215243241323057,-0.6782559249526872,0,9,0,1,1,0,0,1,0,1
yes,-0.3397165448614569,24,-0.7289227651104295,-0.5002309609454876,-0.5422774674339592,1,1,1,4,0,1,1,0,1,0
no,0.4018942818577303,25,-0.9822547927536408,-0.7166609601160987,-0.6782559249526872,2,0,0,11,1,0,1,0,1,0
yes,-0.3397165448614569,21,-0.9940376777603017,0.4564827130704674,-0.10409077831692828,0,1,0,2,0,1,1,0,1,0
no,-0.3397165448614569,20,-0.42845919744057387,-0.7193125522615765,-0.6782559249526872,3,0,1,1,1,0,1,0,1,0
yes,-0.3397165448614569,18,-0.8243641336643834,-0.656005015421533,-0.6424920607849733,0,9,0,2,0,1,1,0,1,0
yes,-0.3397165448614569,22,-0.03962399222076113,-0.3076212608434039,-0.2807830964305372,0,0,1,8,0,1,1,0,1,0
yes,-0.3397165448614569,21,-1.0472963179904093,1.4412609576615005,0.31748525762504753,0,15,1,16,0,1,1,0,1,0
yes,-0.3397165448614569,42,0.13711928287915381,-0.5357853671823573,-0.4828074884241376,0,3,0,14,0,1,1,0,0,1
yes,-0.3397165448614569,36,-0.21636726732067604,0.4686563071349533,0.35785711250650504,2,1,1,6,0,1,1,0,1,0
yes,-0.3397165448614569,41,0.25494813294576374,0.15318466959929164,0.2873226051378639,0,5,1,4,0,1,1,0,1,0
yes,-0.3397165448614569,26,-0.004275337200778055,-0.6964112092080468,-0.6543573269336228,0,1,1,4,0,1,1,0,1,0
no,1.1435051085769175,33,-0.6167496998470169,-0.7186520543401648,-0.6782559249526872,0,5,0,3,1,0,1,0,1,0
yes,-0.3397165448614569,43,2.611525134277963,-0.6535761201842695,-0.5204383840391201,0,5,0,2,0,1,0,1,1,0
yes,-0.3397165448614569,30,-0.510939392487201,-0.34828901968550374,-0.4076526587751803,3,2,1,9,0,1,0,1,0,1
yes,-0.3397165448614569,25,-1.1000836428202507,-0.589068552240274,-0.6217255376688254,1,1,1,7,0,1,1,0,1,0
yes,-0.3397165448614569,35,0.12663251522322527,0.3836141679596222,0.47075603297118873,1,7,1,10,0,1,0,1,1,0
yes,0.4018942818577303,44,0.3727769830123737,-0.534649242436015,-0.46120066236700896,0,3,1,13,0,1,0,1,1,0
yes,1.8851159352961047,43,1.9752493439182692,-0.39254270852372014,-0.03290210755947238,3,2,1,27,0,1,0,1,1,0
yes,1.1435051085769175,50,0.5495202581122887,-0.34217015078745266,-0.20379202574897426,1,22,1,15,0,1,0,1,0,1
yes,-0.3397165448614569,31,0.07820485784584882,-0.6127517261475466,-0.5668971852514784,1,3,1,5,0,1,0,1,1,0
no,0.4018942818577303,43,0.3433197704957212,-0.7209029370072505,-0.6782559249526872,2,2,1,4,1,0,0,1,1,0
no,3.368337588734479,27,0.3727769830123737,-0.720943000464621,-0.6782559249526872,0,3,1,7,1,0,0,1,1,0
yes,-0.3397165448614569,24,-0.5698538175205059,1.709028332296487,1.0131084513071702,1,13,0,1,0,1,1,0,1,0
yes,-0.3397165448614569,49,-0.393110542420591,0.21241549777168497,0.05413315793510496,0,10,0,3,0,1,0,1,1,0
yes,-0.3397165448614569,28,1.904552033878303,-0.6488884055481282,-0.5362974826840657,2,4,1,7,0,1,1,0,1,0
yes,-0.3397165448614569,26,-0.393110542420591,-0.29032503021253286,-0.3399414677902383,0,1,1,0,0,1,1,0,1,0
yes,-0.3397165448614569,29,0.4316914080456787,-0.27417811177282664,-0.1451743658988844,0,1,1,0,0,1,1,0,1,0
yes,-0.3397165448614569,71,2.5531998534949905,-0.06462412756729313,0.791821184282406,1,2,1,9,0,1,0,1,1,0
yes,-0.3397165448614569,24,-0.334196117387286,-0.09579787563326722,-0.16961712225259074,0,0,1,0,0,1,1,0,1,0
yes,-0.3397165448614569,25,-0.14566995728070992,-0.27619473583507337,-0.273791908554335,2,0,1,6,0,1,1,0,1,0
yes,-0.3397165448614569,24,-0.6287682425538109,-0.4228563186885957,-0.47787559516205225,0,2,1,2,0,1,1,0,1,0
yes,-0.3397165448614569,30,0.17835938040246746,-0.7051353158555271,-0.6614495984541046,0,4,1,3,0,1,0,1,1,0
no,-0.3397165448614569,32,1.8456376088449982,-0.7221603029013078,-0.6782559249526872,0,4,1,6,1,0,0,1,1,0
yes,-0.3397165448614569,23,-0.47559073746721786,0.8609405907789539,0.49702597327470704,1,0,1,2,0,1,1,0,1,0
yes,-0.3397165448614569,48,0.07820485784584882,-0.007892583937647604,0.047496186333339484,0,4,1,9,0,1,0,1,1,0
yes,-0.3397165448614569,25,-0.07497264724074378,-0.4537002751344503,-0.42571794544991504,0,2,1,19,0,1,1,0,1,0
yes,-0.3397165448614569,25,0.06642197283918766,-0.18384116075150872,-0.13461094723017397,0,1,1,5,0,1,0,1,1,0
yes,-0.3397165448614569,24,-0.252894210841325,-0.42735903984876783,-0.42695550230936025,0,1,1,0,0,1,1,0,1,0
no,0.4018942818577303,29,-0.5256679987455272,-0.7189928569492142,-0.6782559249526872,1,1,0,5,1,0,1,0,1,0
no,3.368337588734479,28,-0.14566995728070992,-0.7200503117297185,-0.6782559249526872,0,1,0,7,1,0,1,0,1,0
no,-0.3397165448614569,32,-0.510939392487201,-0.7190440084101914,-0.6782559249526872,1,5,1,0,1,0,1,0,1,0
yes,-0.3397165448614569,26,-0.21636726732067604,-0.21079292198269067,-0.23253084615164657,0,1,1,4,0,1,0,1,1,0
yes,-0.3397165448614569,34,1.5510654836784732,-0.541994649202111,-0.3620769414693707,1,4,1,5,0,1,0,1,1,0
yes,-0.3397165448614569,28,-0.452024967453896,-0.21197261804672646,-0.2928898860092936,0,2,1,6,0,1,0,1,1,0
yes,-0.3397165448614569,23,0.31386255797906876,-0.5309924167365331,-0.46194627662419285,1,1,1,7,0,1,1,0,1,0
no,0.4018942818577303,30,-0.510939392487201,-0.7190440084101914,-0.6782559249526872,0,1,1,6,1,0,1,0,1,0
no,0.4018942818577303,34,-0.03962399222076113,-0.7202716392536622,-0.6782559249526872,3,4,0,3,1,0,1,0,1,0
yes,-0.3397165448614569,31,1.4950967798968338,-0.45831345433245513,-0.22396548595023005,1,1,1,2,0,1,1,0,1,0
yes,0.4018942818577303,36,2.611525134277963,-0.5963588882367916,-0.3902566061816821,1,2,1,18,0,1,0,1,1,0
no,1.8851159352961047,32,-0.7701628626337428,-0.7179623815708234,-0.6782559249526872,0,4,1,8,1,0,1,0,1,0
yes,-0.3397165448614569,31,1.3722602037023928,-0.6384063808559498,-0.5386870124708096,2,7,0,26,0,1,0,1,0,1
yes,-0.3397165448614569,28,-0.7112484376004378,-0.452690855357962,-0.5090620280200717,2,0,1,0,0,1,1,0,1,0
no,1.8851159352961047,41,0.7262635332122036,-0.7213558244573247,-0.6782559249526872,0,4,1,3,1,0,1,0,1,0
yes,-0.3397165448614569,21,0.07820485784584882,0.23448210194284422,0.2935074559669788,2,3,1,9,0,1,1,0,1,0
yes,-0.3397165448614569,30,-0.48148217997054843,-0.35145875392302417,-0.40424554556898556,1,0,1,0,0,1,0,1,1,0
yes,-0.3397165448614569,43,-0.9544471841379207,0.056734863154761714,-0.28310236965601604,0,1,0,2,0,1,0,1,1,0
yes,-0.3397165448614569,29,-0.8349687301703783,-0.6759569020408783,-0.654421496548557,2,8,1,2,0,1,0,1,1,0
yes,-0.3397165448614569,33,0.9619212333454235,-0.19478083197884907,0.08831722851933621,3,0,1,10,0,1,0,1,1,0
yes,-0.3397165448614569,24,-0.2814087925574447,0.12176152057683576,0.02969076826491247,0,1,0,0,0,1,1,0,1,0
yes,-0.3397165448614569,25,-0.393110542420591,-0.0471095128501625,-0.1488228668622859,1,1,1,8,0,1,0,1,1,0
yes,-0.3397165448614569,24,0.3727769830123737,0.41203469404534665,0.6380370520167914,0,0,1,10,0,1,1,0,1,0
yes,-0.3397165448614569,24,-0.6287682425538109,-0.39716485518420525,-0.4613717935629505,0,1,1,0,0,1,1,0,1,0
yes,-0.3397165448614569,32,-0.5698538175205059,-0.7188330092930314,-0.6782559249526872,1,0,1,8,0,1,1,0,1,0
no,-0.3397165448614569,46,-0.452024967453896,-0.7192387764202619,-0.6782559249526872,0,5,1,8,1,0,1,0,1,0
yes,-0.3397165448614569,21,-0.5698538175205059,1.7302253036062756,1.0275374475795165,1,14,1,4,0,1,0,1,1,0
yes,-0.3397165448614569,36,-0.49915650748053997,-0.008674441166280135,-0.15667612767968978,2,4,0,3,0,1,1,0,1,0
yes,-0.3397165448614569,23,-1.0647349878002677,3.348195018861961,1.1617711149340084,0,2,0,1,0,1,1,0,1,0
yes,-0.3397165448614569,49,-0.5698538175205059,-0.2559053772277439,-0.353401832892241,0,1,1,6,0,1,1,0,0,1
yes,-0.3397165448614569,26,-0.8055115176537259,1.069653532503492,0.35900299848747286,0,0,1,2,0,1,1,0,1,0
yes,0.4018942818577303,29,-0.46380785246055695,1.0485050909906486,0.6460644875033024,0,0,1,12,0,1,1,0,1,0
yes,-0.3397165448614569,33,-0.1279956297707186,-0.1199572745479676,-0.12758272431906678,0,10,0,3,0,1,1,0,0,1
yes,-0.3397165448614569,29,-0.6287682425538109,-0.301683218188758,-0.39868115991375735,2,2,0,5,0,1,1,0,1,0
yes,-0.3397165448614569,47,0.7557207457288561,-0.5641683354252285,-0.46467806880282003,2,2,1,11,0,1,1,0,1,0
yes,-0.3397165448614569,21,-0.14566995728070992,-0.36574761413702866,-0.3547188500691504,0,4,1,3,0,1,1,0,1,0
yes,-0.3397165448614569,30,-0.8055115176537259,-0.673468199103856,-0.6522825106063621,3,3,1,14,0,1,0,1,1,0
no,4.109948415453666,62,-0.48148217997054843,-0.7191433024847342,-0.6782559249526872,2,1,0,13,1,0,1,0,1,0
yes,0.4018942818577303,21,-0.5345051625005228,0.7634062488722267,0.38162150435947834,1,0,1,11,0,1,1,0,1,0
yes,-0.3397165448614569,30,0.25494813294576374,-0.38103450017519497,-0.3006573428844427,0,2,0,1,0,1,1,0,1,0
yes,-0.3397165448614569,47,-0.43010880134150653,-0.6541003158409833,-0.6272257903774708,0,0,1,12,0,1,0,1,1,0
yes,0.4018942818577303,39,2.140209734011523,0.4359440590062137,1.6737313369030988,2,2,0,22,0,1,0,1,1,0
no,-0.3397165448614569,53,-0.334196117387286,-0.7195865778700264,-0.6782559249526872,1,13,0,11,1,0,1,0,1,0
no,-0.3397165448614569,22,-0.12946849039655114,-0.7200857638013834,-0.6782559249526872,2,1,0,0,1,0,1,0,1,0
no,0.4018942818577303,24,1.5510654836784732,-0.7219979960504157,-0.6782559249526872,2,1,1,2,1,0,1,0,1,0
yes,-0.3397165448614569,25,-0.06908120473741361,-0.3945273662197183,-0.369233393605292,0,0,1,17,0,1,1,0,1,0
yes,-0.3397165448614569,61,0.5613031431189498,-0.334050166262266,-0.19111394325554662,1,21,0,0,0,1,0,1,1,0
yes,-0.3397165448614569,29,-0.510939392487201,0.08534370595255154,-0.09304737092851005,0,0,1,21,0,1,1,0,1,0
