核卡狀況,聯徵紀錄,年齡,年收入,收支比,每月信用卡支出平均,扶養人數,居住時間,持有主卡,活躍帳戶,房地產_no,房地產_yes,創業人士_no,創業人士_yes
0,0.40189428185772985,25,-0.8791545489453574,-0.7173560154729183,-0.6782559249526896,2,0,0,2,1,0,1,0
1,-0.3397165448614566,34,-0.8055115176537262,0.6591178252252402,0.12302088964277798,0,1,1,0,0,1,1,0
1,0.40189428185772985,35,0.3727769830123739,-0.18403200945297887,-0.052544243349073136,2,1,1,22,1,0,1,0
1,-0.3397165448614566,42,1.0444014283920509,-0.6296920329176376,-0.5404440498644127,2,1,1,17,0,1,1,0
1,-0.3397165448614566,30,0.6708839736808974,0.6868652641272297,1.1632349155215398,2,3,1,7,1,0,1,0
0,-0.3397165448614566,21,0.2785139029590858,-0.7208111260163963,-0.6782559249526896,1,1,0,1,1,0,0,1
1,-0.3397165448614566,22,-1.1000836428202512,-0.10579617429940281,-0.4099291400345873,0,5,1,6,1,0,1,0
0,-0.3397165448614566,34,-0.5109393924872011,-0.719044008410191,-0.6782559249526896,1,1,1,0,0,1,1,0
1,-0.3397165448614566,40,1.2564933585119489,2.8044260290448575,4.942169971706373,4,6,1,19,0,1,1,0
1,-0.3397165448614566,21,-0.789486794044667,-0.45698162790494756,-0.521715689391475,0,0,0,5,1,0,1,0
1,0.40189428185772985,29,-0.09853841725406615,0.9292747648620527,0.8538761353918883,0,1,1,6,1,0,1,0
0,0.40189428185772985,24,-0.12799562977071866,-0.7200889562180267,-0.6782559249526896,1,3,1,5,0,1,1,0
1,-0.3397165448614566,21,-0.530793553723425,2.1131211815322866,1.348492593836566,1,1,1,10,0,1,1,0
1,-0.3397165448614566,23,-0.21636726732067615,0.2150032964440808,0.13775863343383643,0,1,1,5,1,0,1,0
1,-0.3397165448614566,42,0.10247760095957047,1.2113468246448302,1.3065865351329102,6,9,1,15,0,1,1,0
0,-0.3397165448614566,42,-0.6378999784339735,-0.7185663169588979,-0.6782559249526896,2,3,1,0,1,0,1,0
1,-0.3397165448614566,36,1.374322208578559,0.5391637721247885,1.4073452978190721,1,3,1,16,0,1,1,0
1,-0.3397165448614566,26,0.07820485784584887,0.5218871644118142,0.5848617088801512,0,0,1,14,1,0,1,0
1,-0.3397165448614566,27,0.7262635332122039,0.3914854900252358,0.8081019322999993,4,2,1,13,0,1,1,0
1,-0.3397165448614566,26,-0.21636726732067615,0.5880427726102473,0.46190062611027116,0,0,1,10,0,1,1,0
1,-0.3397165448614566,23,-0.4608621312088918,-0.4597509913176589,-0.4815485539158332,0,0,1,1,1,0,1,0
1,-0.3397165448614566,29,-1.0941922003169207,-0.18333539586767855,-0.4438840334226251,1,0,0,1,1,0,1,0
1,-0.3397165448614566,30,-0.8938831552036837,0.4108731439053874,-0.07009298295776345,0,5,1,12,1,0,1,0
1,-0.3397165448614566,38,-0.45202496745389614,-0.6733870488433963,-0.6431154227586221,0,1,1,1,1,0,1,0
0,-0.3397165448614566,28,-0.9233403677203361,-0.7170746829650412,-0.6782559249526896,2,2,1,2,1,0,0,1
1,-0.3397165448614566,35,-0.8055115176537262,1.301947735561714,0.49326123363739793,0,13,1,4,1,0,1,0
0,-0.3397165448614566,37,-0.061540158333150595,-0.7202279001916705,-0.6782559249526896,1,8,0,1,1,0,1,0
1,-0.3397165448614566,26,-0.5993110300371587,-0.2720311957557341,-0.3736030143671496,1,2,0,2,1,0,1,0
1,-0.3397165448614566,27,2.140209734011524,0.4425578263335619,1.6862231441714663,0,0,1,13,0,1,1,0
0,-0.3397165448614566,49,0.13711928287915387,-0.7205913356210208,-0.6782559249526896,2,1,0,0,1,0,1,0
1,-0.3397165448614566,24,-0.8055115176537262,-0.13364278278645594,-0.3365160570767007,0,1,1,12,1,0,1,0
1,-0.3397165448614566,20,-0.9822547927536411,0.05878566907398803,-0.2930732277662495,0,0,1,4,1,0,1,0
1,-0.3397165448614566,23,-0.33419611738728616,-0.5671773938350321,-0.5531251758310058,2,4,1,8,1,0,1,0
1,-0.3397165448614566,25,-0.5698538175205061,-0.5055173328267877,-0.5272220290464513,0,2,1,2,1,0,1,0
1,0.40189428185772985,32,-0.21636726732067615,-0.00647888985268265,-0.055303536791243696,0,18,0,5,1,0,1,0
1,-0.3397165448614566,34,0.8440923832788139,4.281933632007824,6.281518174612929,3,1,1,1,1,0,1,0
1,-0.3397165448614566,33,-0.1103213022607271,2.502155023776454,2.293316837039832,4,1,0,3,1,0,1,0
0,-0.3397165448614566,44,-0.9233403677203361,-0.7170746829650412,-0.6782559249526896,2,2,0,0,1,0,1,0
1,-0.3397165448614566,21,-1.1000836428202512,-0.443971527840485,-0.5580754032687867,0,1,1,4,1,0,1,0
1,1.1435051085769163,25,-0.21636726732067615,-0.3184305346163409,-0.32697619876871775,0,0,0,4,1,0,1,0
1,-0.3397165448614566,27,-0.6405511275604723,-0.5666175076776507,-0.5763912447885761,3,3,1,5,1,0,1,0
1,-0.3397165448614566,26,-0.33419611738728616,0.2483078190946847,0.11036737494478215,1,1,1,16,1,0,1,0
1,-0.3397165448614566,22,-0.3931105424205912,-0.3501198590250918,-0.3867028195699249,0,0,1,0,1,0,1,0
0,1.8851159352961027,27,0.9030068083121189,-0.7215243241323053,-0.6782559249526896,2,1,1,15,0,1,1,0
0,-0.3397165448614566,26,-0.5109393924872011,-0.719044008410191,-0.6782559249526896,0,1,0,0,1,0,0,1
1,-0.3397165448614566,40,1.5510654836784739,-0.07803227746627601,0.4439118662848893,2,15,1,16,1,0,0,1
1,-0.3397165448614566,42,0.31386255797906887,-0.3842290268089813,-0.2949403802190777,0,6,1,2,1,0,1,0
0,-0.3397165448614566,21,1.0208356583787288,-0.7216256448533693,-0.6782559249526896,0,2,1,0,1,0,1,0
1,-0.3397165448614566,24,-0.17277059279603055,1.9218547018100378,1.677591047570518,0,0,1,0,1,0,1,0
1,-0.3397165448614566,30,-0.5353888788760227,0.8621791555966766,0.45130970617801736,2,4,1,16,0,1,1,0
1,-0.3397165448614566,27,-0.8055115176537262,0.45550367716684953,0.005070903773987753,0,0,1,5,1,0,1,0
1,-0.3397165448614566,33,-0.0702594932380795,-0.5036275192339535,-0.4723661753655608,2,12,0,2,1,0,1,0
1,-0.3397165448614566,37,-0.3783819361622649,-0.12073565029116687,-0.20386536245175693,2,1,1,14,1,0,1,0
1,-0.3397165448614566,26,-0.6876826675871162,-0.18832362599643349,-0.3368491157123849,0,12,1,10,1,0,1,0
0,0.40189428185772985,24,0.43169140804567885,-0.7210201955466288,-0.6782559249526896,1,0,0,4,1,0,1,0
1,-0.3397165448614566,24,0.22549092042911137,0.26420058909777283,0.3948921474113855,0,1,1,11,1,0,1,0
1,-0.3397165448614566,25,-0.28706457736064234,-0.2909113967591174,-0.3172040831230243,0,0,1,0,1,0,1,0
1,-0.3397165448614566,32,-0.48148217997054865,-0.21845482742452516,-0.30540002745335176,2,0,1,18,1,0,1,0
0,-0.3397165448614566,32,0.3727769830123739,-0.7209430004646206,-0.6782559249526896,2,2,1,0,1,0,1,0
1,0.40189428185772985,54,-0.42845919744057404,-0.40922377122851394,-0.4390071426876262,1,6,1,19,0,1,1,0
1,-0.3397165448614566,19,-1.0117120052702937,0.10984355194278785,-0.2800101275832166,0,3,1,8,1,0,1,0
1,-0.3397165448614566,29,-0.5698538175205061,-0.46094376932695846,-0.4965428661615744,0,2,1,4,1,0,1,0
0,1.8851159352961027,40,0.2018662359907563,-0.7206955101051445,-0.6782559249526896,2,1,1,11,1,0,1,0
1,-0.3397165448614566,40,2.2816043540914563,-0.3121847497493176,0.18554666238411754,2,14,1,13,0,1,1,0
0,-0.3397165448614566,41,0.6001866636409311,-0.7212215425091733,-0.6782559249526896,3,14,1,9,0,1,1,0
0,-0.3397165448614566,34,-0.03962399222076114,-0.7202716392536618,-0.6782559249526896,2,2,0,18,0,1,1,0
0,-0.3397165448614566,23,-0.6264116655524788,-0.71861321784266,-0.6782559249526896,1,1,1,0,1,0,1,0
0,0.40189428185772985,53,0.47882294807232273,-0.7210792921793626,-0.6782559249526896,1,24,1,2,1,0,1,0
0,1.1435051085769163,34,-0.5183036956163642,-0.719018560861666,-0.6782559249526896,1,7,1,3,1,0,1,0
0,-0.3397165448614566,44,-0.33095582401045437,-0.7195954408879423,-0.6782559249526896,5,0,1,0,0,1,1,0
1,-0.3397165448614566,43,-0.5698538175205061,-0.36162469138774245,-0.42750244743870947,0,1,1,0,1,0,1,0
0,2.626726762015289,35,-1.1000836428202512,-0.7156680225356468,-0.6782559249526896,1,0,1,9,1,0,1,0
0,1.1435051085769163,35,2.965011684477794,-0.7226008511230115,-0.6782559249526896,2,5,1,12,1,0,1,0
1,-0.3397165448614566,21,-1.064734987800268,-0.7159926362374309,-0.6782559249526896,0,1,1,2,1,0,1,0
1,0.40189428185772985,32,1.5510654836784739,0.2763443267871808,1.0603739562501338,0,4,1,6,0,1,1,0
1,0.40189428185772985,25,0.13711928287915387,0.09925160726052544,0.1799606057332173,2,1,1,4,1,0,1,0
1,-0.3397165448614566,26,0.9619212333454239,0.41833829267047123,0.9762384239835538,0,0,1,16,0,1,1,0
1,-0.3397165448614566,46,1.2564933585119489,-0.14515521111732427,0.2440293827010889,2,13,1,7,0,1,1,0
1,0.40189428185772985,35,3.9075835705856408,0.43750439747760383,2.6862119885743345,0,6,1,29,0,1,1,0
0,-0.3397165448614566,35,0.6968063206955514,-0.7213255808988664,-0.6782559249526896,3,3,1,15,0,1,1,0
0,-0.3397165448614566,20,-0.27528169235398114,-0.7197424882826825,-0.6782559249526896,0,3,1,3,1,0,1,0
1,-0.3397165448614566,25,-0.9233403677203361,0.3148750865706947,-0.13657893764932777,0,0,0,9,1,0,1,0
1,-0.3397165448614566,31,0.49060583307898387,-0.22104589658323712,-0.0668966027670126,0,4,1,0,0,1,1,0
1,-0.3397165448614566,23,0.32564544298573006,1.670638097925,2.04071773139529,0,1,1,0,1,0,1,0
1,-0.3397165448614566,23,0.15184788913748012,-0.35332282562356476,-0.2889509717028767,1,4,0,6,1,0,1,0
1,-0.3397165448614566,24,-0.5227222774938621,0.6616835744898942,0.3171706431701141,0,1,1,0,1,0,1,0
1,-0.3397165448614566,40,3.9075835705856408,0.07987102185079964,1.6503706635989457,3,10,1,17,0,1,1,0
1,-0.3397165448614566,43,3.9307958540487635,-0.49345345830322446,-0.007866790647288053,1,1,1,18,0,1,1,0
1,-0.3397165448614566,23,-0.24582447983732864,-0.33985717846515595,-0.3505478250984289,0,1,1,17,0,1,1,0
1,-0.3397165448614566,41,0.9619212333454239,1.8365772986190743,3.0301354567756555,1,3,1,5,1,0,1,0
1,-0.3397165448614566,28,-0.5698538175205061,0.47613411584706633,0.1554661470040496,0,0,1,29,1,0,1,0
1,-0.3397165448614566,45,5.969647361176349,-0.6153262318755612,-0.25504191375407753,2,10,1,9,0,1,1,0
0,1.8851159352961027,25,0.3727769830123739,-0.7209430004646206,-0.6782559249526896,0,3,0,5,1,0,1,0
1,0.40189428185772985,37,0.31386255797906887,0.24314994567573403,0.4143571750637678,0,4,1,4,1,0,1,0
1,0.40189428185772985,37,-0.8055115176537262,-0.08259154638984673,-0.30694303167988374,3,3,1,3,0,1,1,0
1,-0.3397165448614566,30,-0.7171398801037686,-0.38732881483916354,-0.47036775021475297,0,1,1,4,1,0,1,0
1,-0.3397165448614566,21,-0.21636726732067615,-0.39731255456621517,-0.39460176915316203,2,1,0,2,1,0,1,0
1,-0.3397165448614566,40,0.5495202581122889,-0.3634025699489238,-0.22901361788622562,0,9,1,4,1,0,1,0
0,2.626726762015289,23,3.9075835705856408,-0.7228419798591041,-0.6782559249526896,2,2,1,5,1,0,1,0
1,-0.3397165448614566,21,-0.5109393924872011,-0.6524400270877942,-0.6291111670009426,0,2,1,3,1,0,1,0
1,-0.3397165448614566,22,-0.21636726732067615,-0.1848610249842964,-0.21060903895607017,0,10,1,11,1,0,1,0
1,-0.3397165448614566,40,-0.45202496745389614,-0.6794735610268312,-0.6476989666824933,0,4,1,3,0,1,1,0
1,0.40189428185772985,18,-1.0058205627669632,-0.12406975284095412,-0.39067213193964595,0,4,1,2,0,1,1,0
1,-0.3397165448614566,34,0.6673491081788989,-0.6903481284765721,-0.6373095870099897,4,2,1,6,0,1,0,1
1,-0.3397165448614566,25,0.9619212333454239,-0.3901934443532721,-0.19467994042831907,0,3,1,16,1,0,1,0
1,-0.3397165448614566,20,-0.9586890227403193,1.3009201698611497,0.34108464189676274,0,0,1,11,1,0,1,0
1,-0.3397165448614566,24,-0.8791545489453574,0.12735510717271953,-0.21615219363584307,1,1,0,1,1,0,1,0
1,-0.3397165448614566,41,-0.21636726732067615,0.2845627424005221,0.19758891566442585,3,10,0,0,0,1,1,0
0,3.3683375887344753,31,0.49060583307898387,-0.7210937139690204,-0.6782559249526896,3,4,0,19,1,0,1,0
0,-0.3397165448614566,53,0.9030068083121189,-0.7215243241323053,-0.6782559249526896,0,9,0,1,0,1,0,1
1,-0.3397165448614566,24,-0.7289227651104299,-0.5002309609454872,-0.5422774674339612,1,1,1,4,1,0,1,0
0,0.40189428185772985,25,-0.9822547927536411,-0.7166609601160983,-0.6782559249526896,2,0,0,11,1,0,1,0
1,-0.3397165448614566,21,-0.9940376777603022,0.4564827130704671,-0.10409077831692866,0,1,0,2,1,0,1,0
0,-0.3397165448614566,20,-0.42845919744057404,-0.7193125522615761,-0.6782559249526896,3,0,1,1,1,0,1,0
1,-0.3397165448614566,18,-0.8243641336643838,-0.6560050154215327,-0.6424920607849757,0,9,0,2,1,0,1,0
1,-0.3397165448614566,22,-0.03962399222076114,-0.30762126084340374,-0.2807830964305382,0,0,1,8,1,0,1,0
1,-0.3397165448614566,21,-1.0472963179904098,1.4412609576614996,0.31748525762504864,0,15,1,16,1,0,1,0
1,-0.3397165448614566,42,0.13711928287915387,-0.535785367182357,-0.48280748842413934,0,3,0,14,1,0,0,1
1,-0.3397165448614566,36,-0.21636726732067615,0.46865630713495304,0.3578571125065063,2,1,1,6,1,0,1,0
1,-0.3397165448614566,41,0.25494813294576385,0.15318466959929156,0.2873226051378649,0,5,1,4,1,0,1,0
1,-0.3397165448614566,26,-0.004275337200778057,-0.6964112092080463,-0.6543573269336251,0,1,1,4,1,0,1,0
0,1.1435051085769163,33,-0.6167496998470171,-0.7186520543401643,-0.6782559249526896,0,5,0,3,1,0,1,0
1,-0.3397165448614566,43,2.6115251342779637,-0.653576120184269,-0.520438384039122,0,5,0,2,0,1,1,0
1,-0.3397165448614566,30,-0.5109393924872011,-0.3482890196855035,-0.40765265877518175,3,2,1,9,0,1,0,1
1,-0.3397165448614566,25,-1.1000836428202512,-0.5890685522402737,-0.6217255376688277,1,1,1,7,1,0,1,0
1,-0.3397165448614566,35,0.12663251522322533,0.383614167959622,0.4707560329711904,1,7,1,10,0,1,1,0
1,0.40189428185772985,44,0.3727769830123739,-0.5346492424360146,-0.46120066236701057,0,3,1,13,0,1,1,0
1,1.8851159352961027,43,1.9752493439182701,-0.3925427085237199,-0.032902107559472496,3,2,1,27,0,1,1,0
1,1.1435051085769163,50,0.5495202581122889,-0.34217015078745244,-0.20379202574897498,1,22,1,15,0,1,0,1
1,-0.3397165448614566,31,0.07820485784584887,-0.6127517261475462,-0.5668971852514804,1,3,1,5,0,1,1,0
0,0.40189428185772985,43,0.3433197704957214,-0.72090293700725,-0.6782559249526896,2,2,1,4,0,1,1,0
0,3.3683375887344753,27,0.3727769830123739,-0.7209430004646206,-0.6782559249526896,0,3,1,7,0,1,1,0
1,-0.3397165448614566,24,-0.5698538175205061,1.709028332296486,1.013108451307174,1,13,0,1,1,0,1,0
1,-0.3397165448614566,49,-0.3931105424205912,0.21241549777168486,0.054133157935105154,0,10,0,3,0,1,1,0
1,-0.3397165448614566,28,1.904552033878304,-0.6488884055481278,-0.5362974826840676,2,4,1,7,1,0,1,0
1,-0.3397165448614566,26,-0.3931105424205912,-0.2903250302125327,-0.33994146779023954,0,1,1,0,1,0,1,0
1,-0.3397165448614566,29,0.43169140804567885,-0.27417811177282647,-0.14517436589888494,0,1,1,0,1,0,1,0
1,-0.3397165448614566,71,2.5531998534949913,-0.0646241275672931,0.7918211842824088,1,2,1,9,0,1,1,0
1,-0.3397165448614566,24,-0.33419611738728616,-0.09579787563326717,-0.16961712225259135,0,0,1,0,1,0,1,0
1,-0.3397165448614566,25,-0.14566995728070997,-0.2761947358350732,-0.273791908554336,2,0,1,6,1,0,1,0
1,-0.3397165448614566,24,-0.6287682425538111,-0.42285631868859547,-0.47787559516205397,0,2,1,2,1,0,1,0
1,-0.3397165448614566,30,0.17835938040246754,-0.7051353158555267,-0.6614495984541069,0,4,1,3,0,1,1,0
0,-0.3397165448614566,32,1.8456376088449988,-0.7221603029013075,-0.6782559249526896,0,4,1,6,0,1,1,0
1,-0.3397165448614566,23,-0.4755907374672181,0.8609405907789534,0.4970259732747088,1,0,1,2,1,0,1,0
1,-0.3397165448614566,48,0.07820485784584887,-0.007892583937647598,0.04749618633333965,0,4,1,9,0,1,1,0
1,-0.3397165448614566,25,-0.0749726472407438,-0.4537002751344501,-0.42571794544991653,0,2,1,19,1,0,1,0
1,-0.3397165448614566,25,0.06642197283918769,-0.1838411607515086,-0.13461094723017444,0,1,1,5,0,1,1,0
1,-0.3397165448614566,24,-0.2528942108413251,-0.4273590398487676,-0.42695550230936175,0,1,1,0,1,0,1,0
0,0.40189428185772985,29,-0.5256679987455274,-0.7189928569492138,-0.6782559249526896,1,1,0,5,1,0,1,0
0,3.3683375887344753,28,-0.14566995728070997,-0.720050311729718,-0.6782559249526896,0,1,0,7,1,0,1,0
0,-0.3397165448614566,32,-0.5109393924872011,-0.719044008410191,-0.6782559249526896,1,5,1,0,1,0,1,0
1,-0.3397165448614566,26,-0.21636726732067615,-0.21079292198269053,-0.2325308461516474,0,1,1,4,0,1,1,0
1,-0.3397165448614566,34,1.5510654836784739,-0.5419946492021107,-0.36207694146937197,1,4,1,5,0,1,1,0
1,-0.3397165448614566,28,-0.45202496745389614,-0.21197261804672632,-0.29288988600929466,0,2,1,6,0,1,1,0
1,-0.3397165448614566,23,0.31386255797906887,-0.5309924167365327,-0.4619462766241945,1,1,1,7,1,0,1,0
0,0.40189428185772985,30,-0.5109393924872011,-0.719044008410191,-0.6782559249526896,0,1,1,6,1,0,1,0
0,0.40189428185772985,34,-0.03962399222076114,-0.7202716392536618,-0.6782559249526896,3,4,0,3,1,0,1,0
1,-0.3397165448614566,31,1.4950967798968344,-0.45831345433245485,-0.22396548595023083,1,1,1,2,1,0,1,0
1,0.40189428185772985,36,2.6115251342779637,-0.5963588882367913,-0.3902566061816835,1,2,1,18,0,1,1,0
0,1.8851159352961027,32,-0.7701628626337431,-0.717962381570823,-0.6782559249526896,0,4,1,8,1,0,1,0
1,-0.3397165448614566,31,1.3722602037023934,-0.6384063808559494,-0.5386870124708115,2,7,0,26,0,1,0,1
1,-0.3397165448614566,28,-0.7112484376004381,-0.4526908553579617,-0.5090620280200736,2,0,1,0,1,0,1,0
0,1.8851159352961027,41,0.7262635332122039,-0.7213558244573244,-0.6782559249526896,0,4,1,3,1,0,1,0
1,-0.3397165448614566,21,0.07820485784584887,0.23448210194284408,0.29350745596697986,2,3,1,9,1,0,1,0
1,-0.3397165448614566,30,-0.48148217997054865,-0.35145875392302395,-0.404245545568987,1,0,1,0,0,1,1,0
1,-0.3397165448614566,43,-0.9544471841379212,0.056734863154761686,-0.28310236965601704,0,1,0,2,0,1,1,0
1,-0.3397165448614566,29,-0.8349687301703786,-0.675956902040878,-0.6544214965485593,2,8,1,2,0,1,1,0
1,-0.3397165448614566,33,0.9619212333454239,-0.19478083197884896,0.08831722851933653,3,0,1,10,0,1,1,0
1,-0.3397165448614566,24,-0.28140879255744483,0.12176152057683567,0.029690768264912577,0,1,0,0,1,0,1,0
1,-0.3397165448614566,25,-0.3931105424205912,-0.047109512850162474,-0.14882286686228643,1,1,1,8,0,1,1,0
1,-0.3397165448614566,24,0.3727769830123739,0.41203469404534643,0.6380370520167937,0,0,1,10,1,0,1,0
1,-0.3397165448614566,24,-0.6287682425538111,-0.39716485518420497,-0.46137179356295216,0,1,1,0,1,0,1,0
1,-0.3397165448614566,32,-0.5698538175205061,-0.718833009293031,-0.6782559249526896,1,0,1,8,1,0,1,0
0,-0.3397165448614566,46,-0.45202496745389614,-0.7192387764202615,-0.6782559249526896,0,5,1,8,1,0,1,0
1,-0.3397165448614566,21,-0.5698538175205061,1.7302253036062745,1.0275374475795203,1,14,1,4,0,1,1,0
1,-0.3397165448614566,36,-0.4991565074805402,-0.00867444116628013,-0.15667612767969033,2,4,0,3,1,0,1,0
1,-0.3397165448614566,23,-1.064734987800268,3.3481950188619587,1.1617711149340124,0,2,0,1,1,0,1,0
1,-0.3397165448614566,49,-0.5698538175205061,-0.2559053772277438,-0.3534018328922422,0,1,1,6,1,0,0,1
1,-0.3397165448614566,26,-0.8055115176537262,1.0696535325034913,0.35900299848747413,0,0,1,2,1,0,1,0
1,0.40189428185772985,29,-0.4638078524605571,1.048505090990648,0.6460644875033047,0,0,1,12,1,0,1,0
1,-0.3397165448614566,33,-0.12799562977071866,-0.11995727454796754,-0.12758272431906723,0,10,0,3,1,0,0,1
1,-0.3397165448614566,29,-0.6287682425538111,-0.3016832181887578,-0.3986811599137588,2,2,0,5,1,0,1,0
1,-0.3397165448614566,47,0.7557207457288564,-0.5641683354252282,-0.4646780688028217,2,2,1,11,1,0,1,0
1,-0.3397165448614566,21,-0.14566995728070997,-0.36574761413702844,-0.35471885006915166,0,4,1,3,1,0,1,0
1,-0.3397165448614566,30,-0.8055115176537262,-0.6734681991038557,-0.6522825106063644,3,3,1,14,0,1,1,0
0,4.109948415453662,62,-0.48148217997054865,-0.7191433024847338,-0.6782559249526896,2,1,0,13,1,0,1,0
1,0.40189428185772985,21,-0.534505162500523,0.7634062488722263,0.38162150435947967,1,0,1,11,1,0,1,0
1,-0.3397165448614566,30,0.25494813294576385,-0.38103450017519475,-0.30065734288444373,0,2,0,1,1,0,1,0
1,-0.3397165448614566,47,-0.4301088013415067,-0.6541003158409829,-0.6272257903774731,0,0,1,12,0,1,1,0
1,0.40189428185772985,39,2.140209734011524,0.4359440590062134,1.6737313369031046,2,2,0,22,0,1,1,0
0,-0.3397165448614566,53,-0.33419611738728616,-0.7195865778700261,-0.6782559249526896,1,13,0,11,1,0,1,0
0,-0.3397165448614566,22,-0.12946849039655117,-0.720085763801383,-0.6782559249526896,2,1,0,0,1,0,1,0
0,0.40189428185772985,24,1.5510654836784739,-0.7219979960504153,-0.6782559249526896,2,1,1,2,1,0,1,0
1,-0.3397165448614566,25,-0.06908120473741364,-0.39452736621971807,-0.36923339360529334,0,0,1,17,1,0,1,0
1,-0.3397165448614566,61,0.56130314311895,-0.3340501662622658,-0.1911139432555473,1,21,0,0,0,1,1,0
1,-0.3397165448614566,29,-0.5109393924872011,0.0853437059525515,-0.09304737092851038,0,0,1,21,1,0,1,0
1,-0.3397165448614566,35,-0.21636726732067615,-0.15422047168738304,-0.18306817359334077,1,0,1,8,1,0,1,0
1,-0.3397165448614566,26,0.07820485784584887,0.1826607187686047,0.24036254756199196,0,4,1,2,1,0,1,0
1,-0.3397165448614566,42,0.7026977631988816,-0.20020783477173587,0.013385452451890155,0,12,1,11,1,0,1,0
1,-0.3397165448614566,27,-0.35776188740060827,-0.6147859686360757,-0.5930020079686853,0,2,1,1,1,0,1,0
1,-0.3397165448614566,22,-0.4903193437255443,0.34494541475348617,0.10668513909810098,2,1,1,9,0,1,1,0
0,4.851559242172848,40,-0.07567962034114391,-0.7201991483969707,-0.6782559249526896,0,4,1,16,1,0,1,0
0,1.1435051085769163,35,0.2785139029590858,-0.7208111260163963,-0.6782559249526896,0,3,0,2,1,0,1,0
1,-0.3397165448614566,32,-1.2061296078802,-0.3152411774609236,-0.5219356994998208,1,0,1,2,1,0,1,0
0,-0.3397165448614566,25,0.31386255797906887,-0.7208618470391746,-0.6782559249526896,0,1,1,3,1,0,1,0
0,-0.3397165448614566,56,-0.7819457476404043,-0.7179021307729182,-0.6782559249526896,0,2,1,11,0,1,1,0
1,0.40189428185772985,30,2.3112972243082415,0.10074041703119897,1.0616573485488177,4,3,1,14,0,1,1,0
1,-0.3397165448614566,25,2.434781859178049,-0.21031384848718118,0.4378615883053794,0,25,1,8,0,1,1,0
1,-0.3397165448614566,34,-0.06295410453394996,-0.41702873407178226,-0.38948961427563855,1,2,1,6,1,0,1,0
1,-0.3397165448614566,24,-1.0223166017762886,1.1266137991761371,0.19565172666044092,1,0,1,5,1,0,1,0
1,-0.3397165448614566,40,2.729353984344574,-0.23172698839249917,0.46265232731378597,2,3,1,0,0,1,1,0
1,-0.3397165448614566,31,-0.6876826675871162,-0.27930264733126603,-0.3957384880462821,2,1,1,16,0,1,1,0
1,-0.3397165448614566,27,0.9619212333454239,-0.4184040263174254,-0.23675687364945666,1,2,1,0,0,1,1,0
1,-0.3397165448614566,30,-0.21636726732067615,-0.06337480179459601,-0.10413038013643097,2,6,1,8,0,1,1,0
